location_code,district_name,source_district_name,division_code,division_name,notes
BD-D-LAKSHMIPUR,Lakshmipur,Lakshmipur,BD-CTG,Chattogram,
BD-D-LALMONIRHAT,Lalmonirhat,Lalmonirhat,BD-RAN,Rangpur,
BD-D-MADARIPUR,Madaripur,Madaripur,BD-DHA,Dhaka,
BD-D-MAGURA,Magura,Magura,BD-KHU,Khulna,
BD-D-MANIKGANJ,Manikganj,Manikganj,BD-DHA,Dhaka,
BD-D-MOULVIBAZAR,Moulvibazar,Maulvibazar,BD-SYL,Sylhet,Source spelling "Maulvibazar" renamed to canonical "Moulvibazar".
BD-D-MEHERPUR,Meherpur,Meherpur,BD-KHU,Khulna,
BD-D-MUNSHIGANJ,Munshiganj,Munshiganj,BD-DHA,Dhaka,
BD-D-MYMENSINGH,Mymensingh,Mymensingh,BD-MYM,Mymensingh,
BD-D-NAOGAON,Naogaon,Naogaon,BD-RAJ,Rajshahi,
BD-D-NARAIL,Narail,Narail,BD-KHU,Khulna,
BD-D-NARAYANGANJ,Narayanganj,Narayanganj,BD-DHA,Dhaka,
BD-D-NARSINGDI,Narsingdi,Narsingdi,BD-DHA,Dhaka,
BD-D-NATORE,Natore,Natore,BD-RAJ,Rajshahi,
BD-D-CHAPAINAWABGANJ,Chapainawabganj,Nawabganj,BD-RAJ,Rajshahi,UNVERIFIED: source "Nawabganj" is ambiguous. Resolved to Chapainawabganj (Rajshahi Division; formerly named Nawabganj District) as the most plausible match. Double-check against the NASA POWER pull's coordinates in bangladesh-climate-disease-synthesis before treating as authoritative.
BD-D-NETROKONA,Netrokona,Netrakona,BD-MYM,Mymensingh,Source spelling "Netrakona" renamed to canonical "Netrokona".
BD-D-NILPHAMARI,Nilphamari,Nilphamari,BD-RAN,Rangpur,
BD-D-NOAKHALI,Noakhali,Noakhali,BD-CTG,Chattogram,
BD-D-PABNA,Pabna,Pabna,BD-RAJ,Rajshahi,
BD-D-PANCHAGARH,Panchagarh,Panchagarh,BD-RAN,Rangpur,
BD-D-PATUAKHALI,Patuakhali,Patuakhali,BD-BAR,Barishal,
BD-D-PIROJPUR,Pirojpur,Pirojpur,BD-BAR,Barishal,
BD-D-RAJBARI,Rajbari,Rajbari,BD-DHA,Dhaka,
BD-D-RAJSHAHI,Rajshahi,Rajshahi,BD-RAJ,Rajshahi,
BD-D-RANGAMATI,Rangamati,Rangamati,BD-CTG,Chattogram,
BD-D-RANGPUR,Rangpur,Rangpur,BD-RAN,Rangpur,
BD-D-SATKHIRA,Satkhira,Satkhira,BD-KHU,Khulna,
BD-D-SHARIATPUR,Shariatpur,Shariatpur,BD-DHA,Dhaka,
BD-D-SHERPUR,Sherpur,Sherpur,BD-MYM,Mymensingh,
BD-D-SIRAJGANJ,Sirajganj,Sirajganj,BD-RAJ,Rajshahi,
BD-D-SUNAMGANJ,Sunamganj,Sunamganj,BD-SYL,Sylhet,
BD-D-SYLHET,Sylhet,Sylhet,BD-SYL,Sylhet,
BD-D-TANGAIL,Tangail,Tangail,BD-DHA,Dhaka,
BD-D-THAKURGAON,Thakurgaon,Thakurgaon,BD-RAN,Rangpur,
